topic,description,source,url,text
Number of malaria suspects examined by microscopy,WHO Global Health Observatory - Number of malaria suspects examined by microscopy,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_MICR_TEST,[WHO-GHO] Number of malaria suspects examined by microscopy: WHO Global Health Observatory - Number of malaria suspects examined by microscopy
Estimated number of malaria cases,WHO Global Health Observatory - Estimated number of malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_EST_CASES,[WHO-GHO] Estimated number of malaria cases: WHO Global Health Observatory - Estimated number of malaria cases
"Hypertension among adults aged 30-79 years, prevalence, crude","WHO Global Health Observatory - Hypertension among adults aged 30-79 years, prevalence, crude",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_PREVALENCE_C,"[WHO-GHO] Hypertension among adults aged 30-79 years, prevalence, crude: WHO Global Health Observatory - Hypertension among adults aged 30-79 years, prevalence, crude"
Number of malaria suspects examined by rapid diagnostic test (RDT),WHO Global Health Observatory - Number of malaria suspects examined by rapid diagnostic test (RDT),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_RDT_TEST,[WHO-GHO] Number of malaria suspects examined by rapid diagnostic test (RDT): WHO Global Health Observatory - Number of malaria suspects examined by rapid diagnostic test (RDT)
People living with chronic hepatitis C (HCV) including cured (all ages) (adjusted number),WHO Global Health Observatory - People living with chronic hepatitis C (HCV) including cured (all ages) (adjusted number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_LIVINGWITH_CRD_NUM,[WHO-GHO] People living with chronic hepatitis C (HCV) including cured (all ages) (adjusted number): WHO Global Health Observatory - People living with chronic hepatitis C (HCV) including cured (all ages) (adjusted number)
"Has conducted a recent, national adult risk factor survey covering raised blood pressure/hypertension","WHO Global Health Observatory - Has conducted a recent, national adult risk factor survey covering raised blood pressure/hypertension",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_BP_SVY,"[WHO-GHO] Has conducted a recent, national adult risk factor survey covering raised blood pressure/hypertension: WHO Global Health Observatory - Has conducted a recent, national adult risk factor survey covering raised blood pressure/hypertension"
Existence of evidence-based national guidelines/protocols/standards for the management of cancer,WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of cancer,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_CANCER_GUIDE,[WHO-GHO] Existence of evidence-based national guidelines/protocols/standards for the management of cancer: WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of cancer
Number of indigenous malaria cases,WHO Global Health Observatory - Number of indigenous malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_INDIG,[WHO-GHO] Number of indigenous malaria cases: WHO Global Health Observatory - Number of indigenous malaria cases
"HIV, Hepatitis, and STI-related laws and policies","WHO Global Health Observatory - HIV, Hepatitis, and STI-related laws and policies",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HHS_LAWPOLICY,"[WHO-GHO] HIV, Hepatitis, and STI-related laws and policies: WHO Global Health Observatory - HIV, Hepatitis, and STI-related laws and policies"
Number of confirmed malaria cases,WHO Global Health Observatory - Number of confirmed malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_CONF_CASES,[WHO-GHO] Number of confirmed malaria cases: WHO Global Health Observatory - Number of confirmed malaria cases
Domestic Expenditure on Malaria,WHO Global Health Observatory - Domestic Expenditure on Malaria,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_NMCP_CALCULATIONS,[WHO-GHO] Domestic Expenditure on Malaria: WHO Global Health Observatory - Domestic Expenditure on Malaria
Number of suspected malaria cases,WHO Global Health Observatory - Number of suspected malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_SUSPECTS,[WHO-GHO] Number of suspected malaria cases: WHO Global Health Observatory - Number of suspected malaria cases
"Hypertension among adults aged 30-79 years, prevalence, age-standardized","WHO Global Health Observatory - Hypertension among adults aged 30-79 years, prevalence, age-standardized",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_PREVALENCE_A,"[WHO-GHO] Hypertension among adults aged 30-79 years, prevalence, age-standardized: WHO Global Health Observatory - Hypertension among adults aged 30-79 years, prevalence, age-standardized"
Status of indigenous malaria cases,WHO Global Health Observatory - Status of indigenous malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_INDIG_STATUS,[WHO-GHO] Status of indigenous malaria cases: WHO Global Health Observatory - Status of indigenous malaria cases
Number of indigenous P. vivax malaria cases,WHO Global Health Observatory - Number of indigenous P. vivax malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_PV_INDIG,[WHO-GHO] Number of indigenous P. vivax malaria cases: WHO Global Health Observatory - Number of indigenous P. vivax malaria cases
"Has conducted a recent, national adult risk factor survey covering overweight and obesity","WHO Global Health Observatory - Has conducted a recent, national adult risk factor survey covering overweight and obesity",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_OVWT_SVY,"[WHO-GHO] Has conducted a recent, national adult risk factor survey covering overweight and obesity: WHO Global Health Observatory - Has conducted a recent, national adult risk factor survey covering overweight and obesity"
Chronic hepatitis B (HBV) infected persons diagnosed (number),WHO Global Health Observatory - Chronic hepatitis B (HBV) infected persons diagnosed (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_DIAGNOSED_NUM,[WHO-GHO] Chronic hepatitis B (HBV) infected persons diagnosed (number): WHO Global Health Observatory - Chronic hepatitis B (HBV) infected persons diagnosed (number)
Deaths caused by chronic hepatitis B (HBV) infection (number),WHO Global Health Observatory - Deaths caused by chronic hepatitis B (HBV) infection (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_DEATHS_NUM,[WHO-GHO] Deaths caused by chronic hepatitis B (HBV) infection (number): WHO Global Health Observatory - Deaths caused by chronic hepatitis B (HBV) infection (number)
People living with HIV treated for chronic hepatitis C infection (percent),WHO Global Health Observatory - People living with HIV treated for chronic hepatitis C infection (percent),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TREATMENT_HIV_PERCENT,[WHO-GHO] People living with HIV treated for chronic hepatitis C infection (percent): WHO Global Health Observatory - People living with HIV treated for chronic hepatitis C infection (percent)
Number of malaria cases treated with artemisinin-based combination therapies (ACTs),WHO Global Health Observatory - Number of malaria cases treated with artemisinin-based combination therapies (ACTs),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_ACT_TREATED,[WHO-GHO] Number of malaria cases treated with artemisinin-based combination therapies (ACTs): WHO Global Health Observatory - Number of malaria cases treated with artemisinin-based combination therapies (ACTs)
People living with HIV diagnosed with chronic hepatitis C infection (percent),WHO Global Health Observatory - People living with HIV diagnosed with chronic hepatitis C infection (percent),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TESTING_HIV_PERCENT,[WHO-GHO] People living with HIV diagnosed with chronic hepatitis C infection (percent): WHO Global Health Observatory - People living with HIV diagnosed with chronic hepatitis C infection (percent)
"People living with HIV who inject drugs, treated for chronic hepatitis C infection (percent)","WHO Global Health Observatory - People living with HIV who inject drugs, treated for chronic hepatitis C infection (percent)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TREATMENT_PWID_PERCENT,"[WHO-GHO] People living with HIV who inject drugs, treated for chronic hepatitis C infection (percent): WHO Global Health Observatory - People living with HIV who inject drugs, treated for chronic hepatitis C infection (percent)"
Malaria ITN use: Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),WHO Global Health Observatory - Malaria ITN use: Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_ITN_USE,[WHO-GHO] Malaria ITN use: Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%): WHO Global Health Observatory - Malaria ITN use: Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%)
Number of malaria cases treated with any first  line tx courses (including artemisinin-based combination therapies (ACTs)),WHO Global Health Observatory - Number of malaria cases treated with any first  line tx courses (including artemisinin-based combination therapies (ACTs)),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_1STLINE_TREATED,[WHO-GHO] Number of malaria cases treated with any first  line tx courses (including artemisinin-based combination therapies (ACTs)): WHO Global Health Observatory - Number of malaria cases treated with any first  line tx courses (including artemisinin-based combination therapies (ACTs))
Number of female leprosy new cases,WHO Global Health Observatory - Number of female leprosy new cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR11,[WHO-GHO] Number of female leprosy new cases: WHO Global Health Observatory - Number of female leprosy new cases
In-prison HIV diagnosis (number of diagnoses),WHO Global Health Observatory - In-prison HIV diagnosis (number of diagnoses),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_D4_HIV_DIAG_TOT,[WHO-GHO] In-prison HIV diagnosis (number of diagnoses): WHO Global Health Observatory - In-prison HIV diagnosis (number of diagnoses)
Deaths caused by chronic hepatitis C (HCV) infection (number),WHO Global Health Observatory - Deaths caused by chronic hepatitis C (HCV) infection (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_DEATHS_NUM,[WHO-GHO] Deaths caused by chronic hepatitis C (HCV) infection (number): WHO Global Health Observatory - Deaths caused by chronic hepatitis C (HCV) infection (number)
Estimated malaria mortality rate (per 100 000 population),WHO Global Health Observatory - Estimated malaria mortality rate (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_EST_MORTALITY,[WHO-GHO] Estimated malaria mortality rate (per 100 000 population): WHO Global Health Observatory - Estimated malaria mortality rate (per 100 000 population)
"Hepatitis, deaths caused by chronic hepatitis B and C (per 100 000 population)","WHO Global Health Observatory - Hepatitis, deaths caused by chronic hepatitis B and C (per 100 000 population)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_DEATHS_RATE,"[WHO-GHO] Hepatitis, deaths caused by chronic hepatitis B and C (per 100 000 population): WHO Global Health Observatory - Hepatitis, deaths caused by chronic hepatitis B and C (per 100 000 population)"
Percentage of HIV-positive results returned to people in the calendar year,WHO Global Health Observatory - Percentage of HIV-positive results returned to people in the calendar year,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_POSITIVITY,[WHO-GHO] Percentage of HIV-positive results returned to people in the calendar year: WHO Global Health Observatory - Percentage of HIV-positive results returned to people in the calendar year
NLIS: Children with diarrhoea receiving zinc and ORS (%),WHO Global Health Observatory - NLIS: Children with diarrhoea receiving zinc and ORS (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NLIS_NU_CA_049,[WHO-GHO] NLIS: Children with diarrhoea receiving zinc and ORS (%): WHO Global Health Observatory - NLIS: Children with diarrhoea receiving zinc and ORS (%)
"Cancer, alcohol-attributable, age-standardized death rates, per 100,000 population","WHO Global Health Observatory - Cancer, alcohol-attributable, age-standardized death rates, per 100,000 population",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001807_AA,"[WHO-GHO] Cancer, alcohol-attributable, age-standardized death rates, per 100,000 population: WHO Global Health Observatory - Cancer, alcohol-attributable, age-standardized death rates, per 100,000 population"
Existence of a national target on diabetes,WHO Global Health Observatory - Existence of a national target on diabetes,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_DIAB_TARGET,[WHO-GHO] Existence of a national target on diabetes: WHO Global Health Observatory - Existence of a national target on diabetes
Chronic hepatitis C (HCV) infected persons diagnosed (number),WHO Global Health Observatory - Chronic hepatitis C (HCV) infected persons diagnosed (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_DIAGNOSED_NUM,[WHO-GHO] Chronic hepatitis C (HCV) infected persons diagnosed (number): WHO Global Health Observatory - Chronic hepatitis C (HCV) infected persons diagnosed (number)
Total number of  malaria cases (presumed + confirmed cases),WHO Global Health Observatory - Total number of  malaria cases (presumed + confirmed cases),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_TOTAL_CASES,[WHO-GHO] Total number of  malaria cases (presumed + confirmed cases): WHO Global Health Observatory - Total number of  malaria cases (presumed + confirmed cases)
"Chronic hepatitis C (HCV) cumulative treatment rate as percentage of total infected, including cured  (%)","WHO Global Health Observatory - Chronic hepatitis C (HCV) cumulative treatment rate as percentage of total infected, including cured  (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,"[WHO-GHO] Chronic hepatitis C (HCV) cumulative treatment rate as percentage of total infected, including cured  (%): WHO Global Health Observatory - Chronic hepatitis C (HCV) cumulative treatment rate as percentage of total infected, including cured  (%)"
General availability of alteplase for acute stroke management in the public health system,WHO Global Health Observatory - General availability of alteplase for acute stroke management in the public health system,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_alteplase,[WHO-GHO] General availability of alteplase for acute stroke management in the public health system: WHO Global Health Observatory - General availability of alteplase for acute stroke management in the public health system
General availability of cancer surgery in the public sector,WHO Global Health Observatory - General availability of cancer surgery in the public sector,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_cancer_surgery,[WHO-GHO] General availability of cancer surgery in the public sector: WHO Global Health Observatory - General availability of cancer surgery in the public sector
NLIS: Children with diarrhoea <5 y receiving oral rehydration therapy (ORT) and continued feeding (%),WHO Global Health Observatory - NLIS: Children with diarrhoea <5 y receiving oral rehydration therapy (ORT) and continued feeding (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NLIS_NU_CA_041,[WHO-GHO] NLIS: Children with diarrhoea <5 y receiving oral rehydration therapy (ORT) and continued feeding (%): WHO Global Health Observatory - NLIS: Children with diarrhoea <5 y receiving oral rehydration therapy (ORT) and continued feeding (%)
General availability of cancer centres or cancer departments at tertiary level in the public sector,WHO Global Health Observatory - General availability of cancer centres or cancer departments at tertiary level in the public sector,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_CANCER_DEPT,[WHO-GHO] General availability of cancer centres or cancer departments at tertiary level in the public sector: WHO Global Health Observatory - General availability of cancer centres or cancer departments at tertiary level in the public sector
"People living with HIV who inject drugs, diagnosed with chronic hepatitis C infection (percent)","WHO Global Health Observatory - People living with HIV who inject drugs, diagnosed with chronic hepatitis C infection (percent)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TESTING_PWID_PERCENT,"[WHO-GHO] People living with HIV who inject drugs, diagnosed with chronic hepatitis C infection (percent): WHO Global Health Observatory - People living with HIV who inject drugs, diagnosed with chronic hepatitis C infection (percent)"
"Has conducted a recent, national adult risk factor survey covering raised blood glucose/diabetes","WHO Global Health Observatory - Has conducted a recent, national adult risk factor survey covering raised blood glucose/diabetes",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_DIAB_SVY,"[WHO-GHO] Has conducted a recent, national adult risk factor survey covering raised blood glucose/diabetes: WHO Global Health Observatory - Has conducted a recent, national adult risk factor survey covering raised blood glucose/diabetes"
Number of malaria positive cases by rapid diagnostic test (RDT),WHO Global Health Observatory - Number of malaria positive cases by rapid diagnostic test (RDT),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_RDT_POS,[WHO-GHO] Number of malaria positive cases by rapid diagnostic test (RDT): WHO Global Health Observatory - Number of malaria positive cases by rapid diagnostic test (RDT)
Pregnant women attending antenatal care  at least once and receiving at least 3 doses of Intermittent Preventive Treatment of Malaria for Pregnant Women (IPTp3) (%),WHO Global Health Observatory - Pregnant women attending antenatal care  at least once and receiving at least 3 doses of Intermittent Preventive Treatment of Malaria for Pregnant Women (IPTp3) (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_IPTP3_COVERAGE,[WHO-GHO] Pregnant women attending antenatal care  at least once and receiving at least 3 doses of Intermittent Preventive Treatment of Malaria for Pregnant Women (IPTp3) (%): WHO Global Health Observatory - Pregnant women attending antenatal care  at least once and receiving at least 3 doses of Intermittent Preventive Treatment of Malaria for Pregnant Women (IPTp3) (%)
Percentage of people living with HIV who know their status receiving antiretroviral therapy,WHO Global Health Observatory - Percentage of people living with HIV who know their status receiving antiretroviral therapy,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_STATUSKNOWNART,[WHO-GHO] Percentage of people living with HIV who know their status receiving antiretroviral therapy: WHO Global Health Observatory - Percentage of people living with HIV who know their status receiving antiretroviral therapy
Existence of operational policy/strategy/action plan to reduce overweight/obesity,WHO Global Health Observatory - Existence of operational policy/strategy/action plan to reduce overweight/obesity,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_OvwtPlan,[WHO-GHO] Existence of operational policy/strategy/action plan to reduce overweight/obesity: WHO Global Health Observatory - Existence of operational policy/strategy/action plan to reduce overweight/obesity
Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%),WHO Global Health Observatory - Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,[WHO-GHO] Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%): WHO Global Health Observatory - Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%)
New chronic hepatitis C (HCV) infections (number),WHO Global Health Observatory - New chronic hepatitis C (HCV) infections (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_INFECTIONS_NEW_NUM,[WHO-GHO] New chronic hepatitis C (HCV) infections (number): WHO Global Health Observatory - New chronic hepatitis C (HCV) infections (number)
Estimated number of malaria deaths,WHO Global Health Observatory - Estimated number of malaria deaths,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_EST_DEATHS,[WHO-GHO] Estimated number of malaria deaths: WHO Global Health Observatory - Estimated number of malaria deaths
New leprosy child case detection rate (less than 15 years of age) per 1 000 000 child population,WHO Global Health Observatory - New leprosy child case detection rate (less than 15 years of age) per 1 000 000 child population,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR13,[WHO-GHO] New leprosy child case detection rate (less than 15 years of age) per 1 000 000 child population: WHO Global Health Observatory - New leprosy child case detection rate (less than 15 years of age) per 1 000 000 child population
Percentage of people living with HIV who have suppressed viral loads,WHO Global Health Observatory - Percentage of people living with HIV who have suppressed viral loads,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_VIRALLOADSUPPRESSED,[WHO-GHO] Percentage of people living with HIV who have suppressed viral loads: WHO Global Health Observatory - Percentage of people living with HIV who have suppressed viral loads
"Prevalence of diabetes, crude","WHO Global Health Observatory - Prevalence of diabetes, crude",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_DIABETES_PREVALENCE_CRUDE,"[WHO-GHO] Prevalence of diabetes, crude: WHO Global Health Observatory - Prevalence of diabetes, crude"
"HIV tests performed where results were received by a person (testing volume), estimated number per 1000 population","WHO Global Health Observatory - HIV tests performed where results were received by a person (testing volume), estimated number per 1000 population",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000028,"[WHO-GHO] HIV tests performed where results were received by a person (testing volume), estimated number per 1000 population: WHO Global Health Observatory - HIV tests performed where results were received by a person (testing volume), estimated number per 1000 population"
People living with chronic hepatitis C (HCV) (number),WHO Global Health Observatory - People living with chronic hepatitis C (HCV) (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_LIVINGWITH_NUM,[WHO-GHO] People living with chronic hepatitis C (HCV) (number): WHO Global Health Observatory - People living with chronic hepatitis C (HCV) (number)
The number of new and relapse cases of tuberculosis detected in a given year by age and sex,WHO Global Health Observatory - The number of new and relapse cases of tuberculosis detected in a given year by age and sex,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/TB_Notification_agesex_num,[WHO-GHO] The number of new and relapse cases of tuberculosis detected in a given year by age and sex: WHO Global Health Observatory - The number of new and relapse cases of tuberculosis detected in a given year by age and sex
Number of new cases of lip and oral cavity cancer,WHO Global Health Observatory - Number of new cases of lip and oral cavity cancer,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,[WHO-GHO] Number of new cases of lip and oral cavity cancer: WHO Global Health Observatory - Number of new cases of lip and oral cavity cancer
Prevalence of chronic hepatitis B (HBV) in the general population (%),WHO Global Health Observatory - Prevalence of chronic hepatitis B (HBV) in the general population (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HBV_PREVALENCE_PER100,[WHO-GHO] Prevalence of chronic hepatitis B (HBV) in the general population (%): WHO Global Health Observatory - Prevalence of chronic hepatitis B (HBV) in the general population (%)
"Hypertension: effective treatment coverage (controlled hypertension) among adults aged 30-79 with hypertension, crude (%)","WHO Global Health Observatory - Hypertension: effective treatment coverage (controlled hypertension) among adults aged 30-79 with hypertension, crude (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_CONTROL_C,"[WHO-GHO] Hypertension: effective treatment coverage (controlled hypertension) among adults aged 30-79 with hypertension, crude (%): WHO Global Health Observatory - Hypertension: effective treatment coverage (controlled hypertension) among adults aged 30-79 with hypertension, crude (%)"
Percentage of people living with HIV receiving treatment who have suppressed viral loads,WHO Global Health Observatory - Percentage of people living with HIV receiving treatment who have suppressed viral loads,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_VIRALLOADSUPPRESSEDART,[WHO-GHO] Percentage of people living with HIV receiving treatment who have suppressed viral loads: WHO Global Health Observatory - Percentage of people living with HIV receiving treatment who have suppressed viral loads
Existence of a national target on obesity,WHO Global Health Observatory - Existence of a national target on obesity,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_OBES_TARGET,[WHO-GHO] Existence of a national target on obesity: WHO Global Health Observatory - Existence of a national target on obesity
"HIV tests performed where results were received by a person (testing volume), reported number","WHO Global Health Observatory - HIV tests performed where results were received by a person (testing volume), reported number",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HIV_0000000027,"[WHO-GHO] HIV tests performed where results were received by a person (testing volume), reported number: WHO Global Health Observatory - HIV tests performed where results were received by a person (testing volume), reported number"
Existence of evidence-based national guidelines/protocols/standards for the management of cardiovascular diseases,WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of cardiovascular diseases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_CVD_GUIDE,[WHO-GHO] Existence of evidence-based national guidelines/protocols/standards for the management of cardiovascular diseases: WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of cardiovascular diseases
"Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%)","WHO Global Health Observatory - Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_TREATMENT_A,"[WHO-GHO] Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%): WHO Global Health Observatory - Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%)"
Persons initiated chronic hepatitis C(HCV) treatment (number),WHO Global Health Observatory - Persons initiated chronic hepatitis C(HCV) treatment (number),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_TREATMENT_INITIATED_NUM,[WHO-GHO] Persons initiated chronic hepatitis C(HCV) treatment (number): WHO Global Health Observatory - Persons initiated chronic hepatitis C(HCV) treatment (number)
Prevalence of chronic hepatitis C (HCV) ) in the general population (%),WHO Global Health Observatory - Prevalence of chronic hepatitis C (HCV) ) in the general population (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/HEPATITIS_HCV_PREVALENCE_PER100,[WHO-GHO] Prevalence of chronic hepatitis C (HCV) ) in the general population (%): WHO Global Health Observatory - Prevalence of chronic hepatitis C (HCV) ) in the general population (%)
Number of malaria positive cases by microscopy,WHO Global Health Observatory - Number of malaria positive cases by microscopy,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_MICR_POS,[WHO-GHO] Number of malaria positive cases by microscopy: WHO Global Health Observatory - Number of malaria positive cases by microscopy
"Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, crude (%)","WHO Global Health Observatory - Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, crude (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_HYP_DIAGNOSIS_C,"[WHO-GHO] Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, crude (%): WHO Global Health Observatory - Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, crude (%)"
"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)","WHO Global Health Observatory - Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/bmi30wm,"[WHO-GHO] Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%): WHO Global Health Observatory - Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)"
Number of presumed malaria cases,WHO Global Health Observatory - Number of presumed malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA_PRES_CASES,[WHO-GHO] Number of presumed malaria cases: WHO Global Health Observatory - Number of presumed malaria cases
Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_OBES_MGMT_GUIDE,[WHO-GHO] Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity: WHO Global Health Observatory - Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity
In-prison Hepatitis C diagnosis (number of diagnoses),WHO Global Health Observatory - In-prison Hepatitis C diagnosis (number of diagnoses),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/PRISON_D4_HEPC_DIAG_TOT,[WHO-GHO] In-prison Hepatitis C diagnosis (number of diagnoses): WHO Global Health Observatory - In-prison Hepatitis C diagnosis (number of diagnoses)
